V1, V2, V3
734, 734, 2159
735, 735, 2175
740, 740, 2175
741, 741, 2191
745, 745, 2204
730, 730, 2190
729, 729, 2206
745, 745, 2191
746, 746, 2207
749, 749, 2204
750, 750, 2220
734, 734, 2205
751, 751, 2221
735, 735, 2206
734, 734, 2222
750, 750, 2207
751, 751, 2223
753, 753, 2225
739, 739, 2216
740, 740, 2219
755, 755, 2220
756, 756, 2236
740, 740, 2221
757, 757, 2237
741, 741, 2222
740, 740, 2238
756, 756, 2223
757, 757, 2239
741, 741, 2225
758, 758, 2241
742, 742, 2226
741, 741, 2242
758, 758, 2243
742, 742, 2245
760, 760, 2247
760, 760, 2249
760, 760, 2236
761, 761, 2252
745, 745, 2237
762, 762, 2253
746, 746, 2238
745, 745, 2254
761, 761, 2239
762, 762, 2255
746, 746, 2241
763, 763, 2257
747, 747, 2242
746, 746, 2258
762, 762, 2243
763, 763, 2259
747, 747, 2244
764, 764, 2260
748, 748, 2245
747, 747, 2261
763, 763, 2246
764, 764, 2262
748, 748, 2247
765, 765, 2263
749, 749, 2248
748, 748, 2264
764, 764, 2249
765, 765, 2265
749, 749, 2250
766, 766, 2266
750, 750, 2251
749, 749, 2267
765, 765, 2252
766, 766, 2268
750, 750, 2253
767, 767, 2269
751, 751, 2254
750, 750, 2270
766, 766, 2255
767, 767, 2271
752, 752, 2257
769, 769, 2273
753, 753, 2258
752, 752, 2274
768, 768, 2259
769, 769, 2275
753, 753, 2260
770, 770, 2276
754, 754, 2261
753, 753, 2277
769, 769, 2262
770, 770, 2278
754, 754, 2263
771, 771, 2279
755, 755, 2264
754, 754, 2280
770, 770, 2265
771, 771, 2281
755, 755, 2266
772, 772, 2282
756, 756, 2267
755, 755, 2283
771, 771, 2268
772, 772, 2284
756, 756, 2269
773, 773, 2285
757, 757, 2270
756, 756, 2286
772, 772, 2271
773, 773, 2287
757, 757, 2273
774, 774, 2289
758, 758, 2274
757, 757, 2290
773, 773, 2275
774, 774, 2291
758, 758, 2276
775, 775, 2292
759, 759, 2277
758, 758, 2293
774, 774, 2278
775, 775, 2294
759, 759, 2279
776, 776, 2295
760, 760, 2280
759, 759, 2296
775, 775, 2281
776, 776, 2297
760, 760, 2282
777, 777, 2298
761, 761, 2283
760, 760, 2299
776, 776, 2284
777, 777, 2300
761, 761, 2285
778, 778, 2301
762, 762, 2286
761, 761, 2302
777, 777, 2287
778, 778, 2303
762, 762, 2289
779, 779, 2305
763, 763, 2290
762, 762, 2306
778, 778, 2291
