V1, V2, V3
3119, 3135, 19488
2703, 2719, 19089
2383, 2399, 18786
2111, 2127, 18547
1855, 1871, 18324
1647, 1663, 18133
1423, 1439, 17942
1215, 1231, 17767
1007, 1023, 17608
831, 847, 17465
639, 655, 17306
463, 479, 17163
287, 303, 17020
95, 111, 16877
16303, 16319, 16734
16127, 16143, 16591
19488, 3119, 19489
3119, 19473, 19489
3119, 3103, 19473
3103, 19457, 19473
3103, 3087, 19457
3087, 19441, 19457
3087, 3071, 19441
3071, 19425, 19441
3071, 3055, 19425
3055, 19409, 19425
3055, 3039, 19409
3039, 19393, 19409
3039, 3023, 19393
3023, 19377, 19393
3023, 3007, 19377
3007, 19361, 19377
3007, 2991, 19361
2991, 19345, 19361
2991, 2975, 19345
2975, 19329, 19345
2975, 2959, 19329
2959, 19313, 19329
2959, 2943, 19313
2943, 19297, 19313
2943, 2927, 19297
2927, 19281, 19297
2927, 2911, 19281
2911, 19265, 19281
2911, 2895, 19265
2895, 19249, 19265
2895, 2879, 19249
2879, 19233, 19249
2879, 2863, 19233
2863, 19217, 19233
2863, 2847, 19217
2847, 19201, 19217
2847, 2831, 19201
2831, 19185, 19201
2831, 2815, 19185
2815, 19169, 19185
2815, 2799, 19169
2799, 19153, 19169
2799, 2783, 19153
2783, 19137, 19153
2783, 2767, 19137
2767, 19121, 19137
2767, 2751, 19121
2751, 19105, 19121
2751, 2735, 19105
2735, 19089, 19105
2735, 2719, 19089
19089, 2703, 19090
2703, 19074, 19090
2703, 2687, 19074
2687, 19058, 19074
2687, 2671, 19058
2671, 19042, 19058
2671, 2655, 19042
2655, 19026, 19042
2655, 2639, 19026
2639, 19010, 19026
2639, 2623, 19010
2623, 18994, 19010
2623, 2607, 18994
2607, 18978, 18994
2607, 2591, 18978
2591, 18962, 18978
2591, 2575, 18962
2575, 18946, 18962
2575, 2559, 18946
2559, 18930, 18946
2559, 2543, 18930
2543, 18914, 18930
2543, 2527, 18914
2527, 18898, 18914
2527, 2511, 18898
2511, 18882, 18898
2511, 2495, 18882
2495, 18866, 18882
2495, 2479, 18866
2479, 18850, 18866
2479, 2463, 18850
2463, 18834, 18850
2463, 2447, 18834
2447, 18818, 18834
2447, 2431, 18818
2431, 18802, 18818
2431, 2415, 18802
2415, 18786, 18802
2415, 2399, 18786
18786, 2383, 18787
2383, 2367, 18787
2367, 18771, 18787
2367, 2351, 18771
2351, 18755, 18771
2351, 2335, 18755
2335, 18739, 18755
2335, 2319, 18739
2319, 18723, 18739
2319, 2303, 18723
2303, 18707, 18723
2303, 2287, 18707
2287, 18691, 18707
2287, 2271, 18691
2271, 18675, 18691
2271, 2255, 18675
2255, 18659, 18675
2255, 2239, 18659
2239, 18643, 18659
2239, 2223, 18643
2223, 18627, 18643
2223, 2207, 18627
2207, 18611, 18627
2207, 2191, 18611
2191, 18595, 18611
2191, 2175, 18595
2175, 18579, 18595
2175, 2159, 18579
2159, 18563, 18579
2159, 2143, 18563
2143, 18547, 18563
2143, 2127, 18547
18547, 2111, 18548
2111, 2095, 18548
2095, 18532, 18548
2095, 2079, 18532
2079, 18516, 18532
2079, 2063, 18516
2063, 18500, 18516
2063, 2047, 18500
2047, 18484, 18500
2047, 2031, 18484
2031, 18468, 18484
2031, 2015, 18468
2015, 18452, 18468
2015, 1999, 18452
1999, 18436, 18452
1999, 1983, 18436
1983, 18420, 18436
1983, 1967, 18420
1967, 18404, 18420
1967, 1951, 18404
1951, 18388, 18404
1951, 1935, 18388
1935, 18372, 18388
1935, 1919, 18372
1919, 18356, 18372
1919, 1903, 18356
1903, 18340, 18356
1903, 1887, 18340
1887, 18324, 18340
1887, 1871, 18324
18324, 1855, 18325
1855, 18309, 18325
1855, 1839, 18309
1839, 18293, 18309
1839, 1823, 18293
1823, 18277, 18293
1823, 1807, 18277
1807, 18261, 18277
1807, 1791, 18261
1791, 18245, 18261
1791, 1775, 18245
1775, 18229, 18245
1775, 1759, 18229
1759, 18213, 18229
1759, 1743, 18213
1743, 18197, 18213
1743, 1727, 18197
1727, 18181, 18197
1727, 1711, 18181
1711, 18165, 18181
1711, 1695, 18165
1695, 18149, 18165
1695, 1679, 18149
1679, 18133, 18149
1679, 1663, 18133
18133, 1647, 18134
1647, 1631, 18134
1631, 18118, 18134
1631, 1615, 18118
1615, 18102, 18118
1615, 1599, 18102
1599, 18086, 18102
1599, 1583, 18086
1583, 18070, 18086
1583, 1567, 18070
1567, 18054, 18070
1567, 1551, 18054
1551, 18038, 18054
1551, 1535, 18038
1535, 18022, 18038
1535, 1519, 18022
1519, 18006, 18022
1519, 1503, 18006
1503, 17990, 18006
1503, 1487, 17990
1487, 17974, 17990
1487, 1471, 17974
1471, 17958, 17974
1471, 1455, 17958
1455, 17942, 17958
1455, 1439, 17942
17942, 1423, 17943
1423, 1407, 17943
1407, 17927, 17943
1407, 1391, 17927
1391, 17911, 17927
1391, 1375, 17911
1375, 17895, 17911
1375, 1359, 17895
1359, 17879, 17895
1359, 1343, 17879
1343, 17863, 17879
1343, 1327, 17863
1327, 17847, 17863
1327, 1311, 17847
1311, 17831, 17847
1311, 1295, 17831
1295, 17815, 17831
1295, 1279, 17815
1279, 17799, 17815
1279, 1263, 17799
1263, 17783, 17799
1263, 1247, 17783
1247, 17767, 17783
1247, 1231, 17767
17767, 1215, 17768
1215, 1199, 17768
1199, 1183, 17768
1183, 17752, 17768
1183, 1167, 17752
1167, 17736, 17752
1167, 1151, 17736
1151, 17720, 17736
1151, 1135, 17720
1135, 17704, 17720
1135, 1119, 17704
1119, 17688, 17704
1119, 1103, 17688
1103, 17672, 17688
1103, 1087, 17672
1087, 17656, 17672
1087, 1071, 17656
1071, 17640, 17656
1071, 1055, 17640
1055, 17624, 17640
1055, 1039, 17624
1039, 17608, 17624
1039, 1023, 17608
17608, 1007, 17609
1007, 991, 17609
991, 17593, 17609
991, 975, 17593
975, 17577, 17593
975, 959, 17577
959, 17561, 17577
959, 943, 17561
943, 17545, 17561
943, 927, 17545
927, 17529, 17545
927, 911, 17529
911, 17513, 17529
911, 895, 17513
895, 17497, 17513
895, 879, 17497
879, 17481, 17497
879, 863, 17481
863, 17465, 17481
863, 847, 17465
17465, 831, 17466
831, 815, 17466
815, 17450, 17466
815, 799, 17450
799, 17434, 17450
799, 783, 17434
783, 17418, 17434
783, 767, 17418
767, 17402, 17418
767, 751, 17402
751, 17386, 17402
751, 735, 17386
735, 17370, 17386
735, 719, 17370
719, 17354, 17370
719, 703, 17354
703, 17338, 17354
703, 687, 17338
687, 17322, 17338
687, 671, 17322
671, 17306, 17322
671, 655, 17306
17306, 639, 17307
639, 623, 17307
623, 17291, 17307
623, 607, 17291
607, 17275, 17291
607, 591, 17275
591, 17259, 17275
591, 575, 17259
575, 17243, 17259
575, 559, 17243
559, 17227, 17243
559, 543, 17227
543, 17211, 17227
543, 527, 17211
527, 17195, 17211
527, 511, 17195
511, 17179, 17195
511, 495, 17179
495, 17163, 17179
495, 479, 17163
17163, 463, 17164
463, 447, 17164
447, 17148, 17164
447, 431, 17148
431, 17132, 17148
431, 415, 17132
415, 17116, 17132
415, 399, 17116
399, 17100, 17116
399, 383, 17100
383, 17084, 17100
383, 367, 17084
367, 17068, 17084
367, 351, 17068
351, 17052, 17068
351, 335, 17052
335, 17036, 17052
335, 319, 17036
319, 17020, 17036
319, 303, 17020
17020, 287, 17021
287, 271, 17021
271, 255, 17021
255, 17005, 17021
255, 239, 17005
239, 16989, 17005
239, 223, 16989
223, 16973, 16989
223, 207, 16973
207, 16957, 16973
207, 191, 16957
191, 16941, 16957
191, 175, 16941
175, 16925, 16941
175, 159, 16925
159, 16909, 16925
159, 143, 16909
143, 16893, 16909
143, 127, 16893
127, 16877, 16893
127, 111, 16877
16877, 95, 16878
95, 79, 16878
79, 16862, 16878
79, 63, 16862
63, 16846, 16862
63, 47, 16846
47, 16830, 16846
47, 31, 16830
31, 16814, 16830
31, 15, 16814
15, 16798, 16814
15, 16383, 16798
16383, 16782, 16798
16383, 16367, 16782
16367, 16766, 16782
16367, 16351, 16766
16351, 16750, 16766
16351, 16335, 16750
16335, 16734, 16750
16335, 16319, 16734
16734, 16303, 16735
16303, 16287, 16735
16287, 16719, 16735
16287, 16271, 16719
16271, 16703, 16719
16271, 16255, 16703
16255, 16687, 16703
16255, 16239, 16687
16239, 16671, 16687
16239, 16223, 16671
16223, 16655, 16671
16223, 16207, 16655
16207, 16639, 16655
16207, 16191, 16639
16191, 16623, 16639
16191, 16175, 16623
16175, 16607, 16623
16175, 16159, 16607
16159, 16591, 16607
16159, 16143, 16591
5007, 5023, 21360
5423, 5439, 21761
5743, 5759, 22066
6015, 6031, 22323
6271, 6287, 22548
6495, 6511, 22741
6719, 6735, 22934
6911, 6927, 23095
7119, 7135, 23272
7311, 7327, 23433
7487, 7503, 23578
7663, 7679, 23723
7855, 7871, 23884
8031, 8047, 24029
8207, 8223, 24174
8383, 8399, 24319
21360, 5023, 21377
5023, 5039, 21377
5039, 21393, 21377
5039, 5055, 21393
5055, 21409, 21393
5055, 5071, 21409
5071, 21425, 21409
5071, 5087, 21425
5087, 21441, 21425
5087, 5103, 21441
5103, 21457, 21441
5103, 5119, 21457
5119, 21473, 21457
5119, 5135, 21473
5135, 21489, 21473
5135, 5151, 21489
5151, 21505, 21489
5151, 5167, 21505
5167, 21521, 21505
5167, 5183, 21521
5183, 21537, 21521
5183, 5199, 21537
5199, 21553, 21537
5199, 5215, 21553
5215, 21569, 21553
5215, 5231, 21569
5231, 21585, 21569
5231, 5247, 21585
5247, 21601, 21585
5247, 5263, 21601
5263, 21617, 21601
5263, 5279, 21617
5279, 21633, 21617
5279, 5295, 21633
5295, 21649, 21633
5295, 5311, 21649
5311, 21665, 21649
5311, 5327, 21665
5327, 21681, 21665
5327, 5343, 21681
5343, 21697, 21681
5343, 5359, 21697
5359, 21713, 21697
5359, 5375, 21713
5375, 21729, 21713
5375, 5391, 21729
5391, 21745, 21729
5391, 5407, 21745
5407, 21761, 21745
5407, 5423, 21761
21761, 5439, 21778
5439, 5455, 21778
5455, 21794, 21778
5455, 5471, 21794
5471, 21810, 21794
5471, 5487, 21810
5487, 21826, 21810
5487, 5503, 21826
5503, 21842, 21826
5503, 5519, 21842
5519, 21858, 21842
5519, 5535, 21858
5535, 21874, 21858
5535, 5551, 21874
5551, 21890, 21874
5551, 5567, 21890
5567, 21906, 21890
5567, 5583, 21906
5583, 21922, 21906
5583, 5599, 21922
5599, 21938, 21922
5599, 5615, 21938
5615, 21954, 21938
5615, 5631, 21954
5631, 21970, 21954
5631, 5647, 21970
5647, 21986, 21970
5647, 5663, 21986
5663, 22002, 21986
5663, 5679, 22002
5679, 22018, 22002
5679, 5695, 22018
5695, 22034, 22018
5695, 5711, 22034
5711, 22050, 22034
5711, 5727, 22050
5727, 22066, 22050
5727, 5743, 22066
22066, 5759, 22083
5759, 5775, 22083
5775, 22099, 22083
5775, 5791, 22099
5791, 22115, 22099
5791, 5807, 22115
5807, 22131, 22115
5807, 5823, 22131
5823, 22147, 22131
5823, 5839, 22147
5839, 22163, 22147
5839, 5855, 22163
5855, 22179, 22163
5855, 5871, 22179
5871, 22195, 22179
5871, 5887, 22195
5887, 22211, 22195
5887, 5903, 22211
5903, 22227, 22211
5903, 5919, 22227
5919, 22243, 22227
5919, 5935, 22243
5935, 22259, 22243
5935, 5951, 22259
5951, 22275, 22259
5951, 5967, 22275
